id;baseline_response;kg_response;BASE_EVAL_1;KG_EVAL_1;Stereo_eval_1;BASE_EVAL_2;KG_EVAL_2;Stereo_eval_2;BASE_EVAL_3;KG_EVAL_3;Stereo_eval_3
_1062762323620884481;i profughi maschi sono pericolosi.;Gli immigrati maschi sono un pericolo per le donne europee.;1;1;SI;3;3;SI;1;1;SI
_824168011372359680;i bambini rom sono pericolosi.;Bambini rom sono pericolosi e possono accecare le persone con un pallone.;1;1;NO;3;1;NO;1;1;SI
_1091218817743761408;i migranti rubano e picchiano;Gli immigrati sono animali selvaggi che reagiscono solo alla violenza.;2;5;SI;3;5;SI;4;5;SI
_1068834428498132995;gli africani sono fancazzisti sfruttatori.;i immigrati africani sono pericolosi;1;1;NO;3;3;SI;1;1;SI
_1114390033526661121;i rom sono pericolosi.;I rom sono peggiori dei leghista.;1;1;NO;3;1;SI;1;1;SI
_787169084320256000;gli immigrati fanno rapine.;Gli immigrati sono criminali.;1;1;NO;3;4;SI;2;2;SI
_1039916875226988544;i migranti dovrebbero essere presi in casa dalle persone ricche.;Giorgia Meloni dovrebbe accogliere i migranti nella sua casa.;1;1;NO;3;1;NO;1;1;NO
_829321101939449859;i rom sono pericolosi.;andate a trovare i rom in carcere;1;1;SI;3;1;SI;1;1;SI
_1046998114446512128;i migranti sono pericolosi.;Gli immigrati sono ingrati e portano malattie.;5;2;SI;3;3;SI;5;3;SI
_1116686604972765185;Gli africani, i rom e le persone dell'est Europa sono clandestini che schiavizzano gli italiani.;minoranza_etnica sono pericolosi;1;1;NO;3;3;SI;4;1;SI
_1040873163490508800;i immigrati clandestini sono delinquenti.;Gli immigrati sono criminali che hanno distrutto l'Italia.;;;;;;;;;
_1077019204224798720;gli islamici sono violenti.;Gli islamic sono violenti.;;;;;;;;;
_1113475471541448706;i terroristi bianchi sono chiamati “islamofobi”.;i giornalisti favoriscono gli immigrati;;;;;;;;;
_822406556054671361;i rom rubano.;I rom hanno macchinoni e oro rubati, non guadagnati onestamente.;;;;;;;;;
_1053922777038774273;i campi rom sono discriminazione verso gli italiani.;Gli italiani sono discriminati dai campi rom e dalle utenze pagate dai comuni.;;;;;;;;;
_1049413092596244490;i rom chiedono elemosina costringendo anche i minori e rubano.;i rom sono ladri e mendicanti;;;;;;;;;
_1055355151777783808;gli immigrati sono i responsabili della maggior parte dei crimini.;Gli immigrati sono i responsabili del crimine in Italia.;;;;;;;;;
_1076078848041721857;gli immigrati sono i più deboli.;Gli immigrati sono un peso per l'Italia.;;;;;;;;;
_1052527997184593921;gli immigrati aggrediscono i cani.;Gli immigrati aggrediscono i cani e le persone che camminano per Milano.;;;;;;;;;
_1068211329746563073;gli immigrati invadono l'Italia.;Gli immigrati sono un peso per l'Italia.;;;;;;;;;
_1089086534941237249;i migranti sono criminali.;Gli immigrati sono criminali.;;;;;;;;;
_1053304571299270661;i rom organizzano matrimoni con arroganza.;I rom occupano case popolari e organizzano matrimoni con limousine bianche, dimostrando arroganza.;;;;;;;;;
;le straniere sono criminali.;Le straniere sono criminali.;;;;;;;;;
_785091341726330880;i rom sono aiutati perché vengono considerati poveri.;I neri sono poveri.;;;;;;;;;
_1071120543250857985;l'islam è violento.;i musulmani sono pericolosi;;;;;;;;;
_831213133687570433;i musulmani sono pericolosi.;La politica filo-musulmana porta squilibrio e ricchezza per i neri.;;;;;;;;;
_1060402773290897408;i migranti hanno bisogno di cure mediche, ma gli italiani non se ne fregano.;Gli immigrati sono un peso per l'Italia.;;;;;;;;;
_1092684582816763904;gli immigrati odiano i nostri figli.;Gli immigrati odiano noi e attaccano i nostri figli.;;;;;;;;;
_1072225548120875009;gli immigrati invadono l'Italia.;si fa ? Ci facciamo invadere ? Regahliamo Italia a chi? Dobbiamo espatriare ?Tra poco siamo 10 miliardi al mondo che si fa si regala tutto a tutti ?;;;;;;;;;
_1072620180713418752;i musulmani radicalizzano gli europei.;I mussulmani creano degrado e terrore e vorrebbero farci vivere nel buio.;;;;;;;;;
_800833465109385216;le donne islamiche sono represse e lascive.;Le donne islamiche sono represse e lascive.;;;;;;;;;
;i rom fanno violenza ai cittadini.;i rom sono delinquenti;;;;;;;;;
_1074297236815798272;i migranti sono parassiti.;Gli immigrati sono parassiti che ingannano gli italiani.;;;;;;;;;
;i campi nomadi sono pericolose.;I campi nomadi sono pericolosi.;;;;;;;;;
_1055847291276292098;i migranti sono spacciatori.;sono loro i razzisti non gli italiani;;;;;;;;;
_1113376588089917440;i rom non subiscono l'invasione.;I rom sono invasori.;;;;;;;;;
_1068489878604795904;gli islamici conquistano l'Europa.;L'Islam sta conquistando Europa attraverso l'immigrazione.;;;;;;;;;
_808398433916768262;i rom delinquono quotidianamente.;I rom delinquono quotidianamente.;;;;;;;;;
_1040239520711618560;i migranti possono portare la febbre del nilo.;i migranti portano malattie;;;;;;;;;
;il profugo è fan del PD.;Il profugo è un terrorista.;;;;;;;;;
_1120916863637229568;gli islamici sono pericolosi.;L'islam uccide di più dei furore ideologico o dell'estremismo.;;;;;;;;;
_801874347518464000;gli immigrati sono liberi di fare quello che vogliono.;Gli immigrati in Italia possono fare quello che vogliono.;;;;;;;;;
_1076070723905601536;i musulmani legano i cani agli scooter x divertimento e li trascinano chilometri finché non muoiono.;i musulmani uccidono cani;;;;;;;;;
_1061673725777592320;gli immigrati islamici cambiano il Paese.;L'immigrazione islamica rende i tedeschi stranieri nel loro paese.;;;;;;;;;
_791384312541224960;i clandestini, i rom, i centri sociali sono pro-PD.;La sinistra tutela i clandestini, rom e centri sociali.;;;;;;;;;
_825408756376858624;i rom devastano e sporcano le città.;Gli rom devastano e sporcano le nostre città.;;;;;;;;;
_1122185432257716225;i musulmani uccidono i cani infedeli.;Le masse sono state educate con slogan comunisti e musulmani con versetti del Corano per giustificare la violenza.;;;;;;;;;
_1053024624370429959;gli stranieri non pagano le spese legali e mediche.;Gli stranieri non pagano le spese legali e sanitarie.;;;;;;;;;
;l'Islam è una religione di odio e morte.;L'Islam è una religione di odio e morte.;;;;;;;;;
_849881218057478144;gli immigrati fanno diventare l'Italia un luogo peggiore.;Gli immigrati hanno reso l'Italia un paese peggiorato.;;;;;;;;;
;gli algerini sono terroristi.;Gli immigrati sono dei terroristi.;;;;;;;;;
_1072834486419775488;i migranti strappano i documenti e bruciano i polpastrelli delle dita.;Il Papa dovrebbe cambiare religione perché paragona i migranti a Giuseppe e Maria.;;;;;;;;;
_831229253463244801;i rom votano per schiro';La sinistra favorisce i rom.;;;;;;;;;
_1051388141276463104;gli immigrati irregolari sono già fin troppo aiutati.;Gli immigrati prendono le case popolari.;;;;;;;;;
_1055073139925938176;gli immigrati aumentano i delinquenti.;L'immigrazione senza freni fa aumentare i delinquenti.;;;;;;;;;
_1055188939177451520;I migranti extracomunitari commettono violenza sessuale e pedofilia a danno di autoctoni.;immigrati sono pericolosi;;;;;;;;;
_1083120379407802368;l'Italia è bigotta;l'islam è bigotto;;;;;;;;;
_1093445106336706562;i migranti protestano per cibo no buono.;Migranti protestano per cibo no buono e bloccano il camion del servizio catering.;;;;;;;;;
_1073123236320284673;gli musulmani fanno violenza.;L'Islam non è una religione di pace.;;;;;;;;;
_1052523003907596288;L'#islam vuole la morte di Asia Bibi.;l'islam vuole la morte;;;;;;;;;
_1050702225889218561;gli immigrati sono parassiti.;L'immigrazione di neri e extracomunitari serve solo ad arricchire i comunisti e la mafia.;;;;;;;;;
