id;baseline_response;kg_response;BASE_EVAL_1;KG_EVAL_1;Stereo_eval_1;BASE_EVAL_2;KG_EVAL_2;Stereo_eval_2;BASE_EVAL_3;KG_EVAL_3;Stereo_eval_3
_1041648313202876417;gli stranieri devono essere trattati diversamente dagli italiani (gli stranieri / essere trattati diversamente dagli italiani).;le istituzioni avvantaggiano i rom.;2;3;NO;1;5;NO;1;5;NO
;il bosniaco è un bandito (il bosniaco / essere un bandito).;i bosniaci sono violenti.;2;5;NO;3;4;NO;4;4;SI
_824011122588131334;gli stranieri sono benvenuti (gli stranieri).;gli stranieri sono benvenuti in Europa;1;1;NO;1;1;NO;1;1;NO
_1040983712706506752;Migranti italiani non sono come clandestini neri.;immigrati sono ladri.;1;1;NO;2;4;NO;1;2;NO
;i rom sono ladri.;" rom_sinti sono-ricchi;";2;2;SI;4;1;SI;2;1;SI
_titoli-cri-297;" George Soros finanzia l'invasione degli immigrati (George Soros / finanziare; gli immigrati / essere invaso).";gli immigrati rovinano l'Italia.;3;2;NO;2;4;NO;1;4;NO
_1124255644423467008;i migranti hanno fatto entrare in Italia e squartano, sventrano e mangiano gli organi.;gli immigrati sono violenti.;1;3;NO;1;4;NO;4;5;SI
_1069896436123357190;gli immigrati chiedono l'elemosina davanti alle poste, bar e supermercati (gli immigrati / chiedere l'elemosina).;gli immigrati si trovano davanti alle poste, bar e supermercati per chiedere l'elemosina;3;3;SI;3;3;NO;4;4;SI
_1090004018309595136;la segretaria Liliana Segre è sinonimo di indifferenza (Liliana Segre / essere sinonimo di indifferenza).;Immigrati sono parassiti.;1;5;NO;1;5;NO;1;5;NO
_1080590514506948608;gli immigrati provenienti da Siria, Afghanistan e Iraq hanno provocato violenze prive di movente (gli immigrati).;gli immigrati sono violenti;3;5;SI;2;5;SI;3;5;NO
;i rom non vengono puniti per aver derubato la cinese morta (i rom).;le istituzioni avvantaggiano i rom;2;4;NO;2;4;NO;3;5;NO
_1115240171790917633;gli stranieri sono nomadi (gli stranieri / essere nomadi).;Rom sono nomadi quindi non capisco perché si siano stabiliti in Italia.;2;4;NO;4;3;NO;3;2;SI
_824347591907414016;gli individui, bande straniere delinquono in Italia (gli individui, bande straniere, delinquono in Italia).;individui e bande straniere sono una minaccia per l'Italia.;3;4;SI;4;4;SI;4;5;SI
_1076894557252530176;l'islam si fonda sulla violenza.;l'islam è fondato sulla violenza.;4;4;SI;4;4;SI;4;4;SI
_1055081714224164864;i spacciatori stranieri bloccano le persone per vendere droga (i spacciatori stranieri / essere in giro a bloccare le persone per vendere droga).;gli stranieri sono spacciatori di droga.;4;5;SI;3;5;SI;3;5;SI
;i rom lavorano nei lavori da #rom (il parlante / associa il gruppo di persone all'azione di lavorare in determinati settori).;Non specificabile dal post.;;;;;;;;;
_1076076791230590981;gli assassini musulmani sono approvati dalla maggioranza in silenzio (gli assassini musulmani / essere approvati dalla maggioranza in silenzio).;l'Islam è incompatibile con leggi e valori occidentali;;;;;;;;;
_1071132151171727360;le donne nigeriane sono rissose (le donne nigeriane / essere rissose).;le nigeriane sono violente;;;;;;;;;
_1061737908594503687;noi abbiamo il destino scritto da soli noti (noi / avere il destino scritto).;gli immigrati sono malati.;;;;;;;;;
_1118590423071637504;il Corano è stato creato per stuprare bambine e rubare cadaveri innocenti (il Corano / essere solo un mezzo per stuprare bambine e derubare i cadaveri innocenti).;Bin SALMAN fa guerra contro la Russia e la Cina.;;;;;;;;;
_1088520035537223680;gli immigrati clandestini sono invasori (il parlante / associare l'azione di migrare all'idea di una invasione).;"Immigrati non sono profughi; 2) Immigrati sono invasori, irregolari, criminali, selvaggi, parassiti, violenti, portano malattie.";;;;;;;;;
_1047870082087620608;i giornalisti nascondono i crimini degli immigrati (i giornalisti / nascondere i crimini degli immigrati).;i giornalisti proteggono gli immigrati.;;;;;;;;;
_1047180969940340736;gli stranieri stanno facendo affari in Italia (il parlante / associa il gruppo di persone all'azione di avere interessi finanziari).;Non specificabile dal post.;;;;;;;;;
_1053024624370429959;gli stranieri non pagano spese legali e cure dentali nei centri convenzionati con le ASL.;le minoranze etniche non pagano spese legali e cure dentali nei centri convenzionati con le ASL mentre un pensionato sociale paga, questo è #razzismo.;;;;;;;;;
_1041003091078926336;dobbiamo uscire da questa Europa (noi, uscire dalla Europa).;i musulmani sono pericolosi.;;;;;;;;;
_1091336120590311424;gli immigrati clandestini sono delinquenti (l'immigrante / essere delinquente).;"gli immigrati sono violenti; 2) gli immigranti vanno puniti.";;;;;;;;;
_1050710928080203777;i stranieri sono maleducati, prepotenti e violenti (i stranieri / essere maleducati, prepotenti e violenti).;stranieri sono torme di maleducati, prepotenti e criminali.;;;;;;;;;
_1048941470533779456;la comunità dei migranti è pericoliosa (il parlante / associare i migranti alla violenza).;"Immigrati sono ladri, violenti, criminali, irregolari, truffatori, stuprano, tolgono soldi; 2) Immigrati sono parassiti.";;;;;;;;;
_1039913608287801346;l'immigrazione senza freni provoca danni pericolosi (l'immigrazione / essere pericolosa).;"l'immigrazione provoca danni; 2) l'accoglienza è pericolosa.";;;;;;;;;
_1055357205791293440;gli immigrati aiutano i cristiani (gli immigranti / essere buoni con i cristiani).;i preti aiutano i musulmani, mentre i musulmani uccidono i cristiani.;;;;;;;;;
_1055906434737733632;gli immigrati africani sono stupratori e assassini.;gli immigrati sono violenti.;;;;;;;;;
_1040201110236086274;i giovani italiani non hanno abbastanza spazio (i giovani italiani / non avere abbastanza spazio).;Minoranza etnica invade l'Italia;;;;;;;;;
_1050084213393948672;le donne straniere danno alla luce il 75% dei figli (le donne / avere il 75% dei figli).;le donne straniere sono responsabili della sostituzione etnica;;;;;;;;;
_800792013331279872;i rom aiutano la criminalità organizzata (i rom, la criminalità organizzata).;i rom aiutano la criminalità organizzata;;;;;;;;;
_1071456335496142849;gli italiani vivono in auto al freddo (Andrea / vivere in auto al freddo).;Finti profughi sono a casa in hotel, ma Andrea, italiano, è costretto a vivere all'aperto.;;;;;;;;;
_783737181366054949;gli italiani sono allontanati mentre i delinquenti non sono (i cittadini, i delinquenti).;gli istituzioni avvantaggiano i rom;;;;;;;;;
_1040600167844667393;gli immigrati regolari con documenti che lavorano non clandestini rifiutano di dare le generalità e si fanno mantenere con il nostro welfare (immigrante / essere mantenuto, essere un clandestino o non essere un clandestino).;"gli immigrati sono truffatori; 2) gli immigrati lavorano non clandestinamente ma si rifiutano di dare le generalità e si fanno mantenere succhiando il nostro welfare.";;;;;;;;;
_850740078209060864;i nomadi sono violenti (i nomadi, essere violenti).;i nomadi hanno figli.;;;;;;;;;
_1055433382757306368;"immigrati vengono derubricate a ""tossiche"" (le ragazze), mentre gli spacciatori abituali vengono promossi a ""geometri"" (i uomini).";le ragazze vittime della violenza bestiale sono tossiche;;;;;;;;;
_825408756376858624;rom sono devastatori e sporcano le nostre città. tutti i rom sono delinquenti.;i rom devastano e sporcano le nostre città. Tutti sono delinquenti che non rispettano la nostra terra.;;;;;;;;;
_1053922777038774273;gli italiani sono discriminati a causa dei campi rom.;gli italiani sono discriminati perché ci sono campi rom.;;;;;;;;;
_835515539858550784;gli organi competenti vengono svaligiati dalla gente rom (gli organi competenti / essere svaligiati dalla gente rom).;" Agli ""organi competenti"" venga svaligiata casa dagli stessi rom prima che si attivino per fare qcs?";;;;;;;;;
_1115271514046259202;il presidente di MamAfrica è stato arrestato per abusi sessuali su minori (il presidente di MamAfrica / essere arrestato per abusi sessuali su minori).;gli immigrati sono violenti.;;;;;;;;;
_1042299826824798208;i migranti hanno gli occhi dei nostri nonni.;gli immigrati hanno occhi del carbone.;;;;;;;;;
_1091754513042673665;gli immigranti stanno molestando la popolazione italiana (gli immigranti, molestare la popolazione italiana).;"i migranti stuprano; 2) i migranti spacciano decine di persone.";;;;;;;;;
_1041016225034321920;gli immigrati pagano le tasse per mantenere altri immigrati senza lavorare (gli immigrati / pagare le tasse / mantenere altri immigrati senza lavorare).;gli immigrati non lavorano.;;;;;;;;;
_1040885198139940866;i clandestini finti migranti vanno bloccati (clandestino / migrante, essere bloccato).;" i migranti sono irregolari e invadono l'Italia;";;;;;;;;;
_1120916863637229568;l'islam è responsabile dell'uccisione (l'islam).;l'islam è estremista e violento;;;;;;;;;
_1055820179438030849;gli rom sono ladri e parassiti (gli rom / essere ladri e parassiti).;i rom sono ladri e parassiti.;;;;;;;;;
_1071408290582675456;"la popolazione rom non vuole lavorare, ma solo rubare e spacciare.
    chi difende un delinquente vuol dire che ragiona come un delinquente.";i rom sono ladri.;;;;;;;;;
_1087002688620032004;117 cadaveri di migranti galleggiano non possono scomparire.;"i migranti sono minaccia; gli immigrati vittime sono fake news. I tre naufraghi hanno raccontato l'evento dopo aver avuto le cure dai volontari di medici senza frontiere. Indottrinati! 117 cadaveri gallegggiano non possono scomparire!!";;;;;;;;;
_1081197526840233984;le nomadi sono ladre (le nomadi, essere ladri).;gli rom sono ladri.;;;;;;;;;
;i rom mischiano tutto (i rom / mischiare).;i rom mischiano tutto.;;;;;;;;;
_1093425654438215682;i migranti che dichiarano di avere 16 anni sono minorenni falsi (i migranti che dichiarano di avere 16 anni / essere minorenni falsi).;gli immigrati stuprano;;;;;;;;;
_811567139467460608;Fabrizia è morta (Fabrizia / essere morti).;"Giuliano Poletti ha un figlio non laureato;
2) Fabrizia è morta.";;;;;;;;;
_1055692728682668032;4 profughi immigrati delinquono e ammazzano e stuprano liberi.;gli immigrati sono criminali.;;;;;;;;;
_1055770576885817344;stranieri stuprano 4 su 10 donne (stranieri / stuprare 4 su 10 donne).;gli immigrati spacciano;;;;;;;;;
;gli immigrati sono al 99.99% delinquenti (gli immigrati, delinquenti).;gli immigrati sono delinquenti;;;;;;;;;
_1052904948579610624;"il 30% degli immigrati vive in povertà (il 30% degli immigrati / vivere in povertà);
   2) non ci pagheranno la pensione (non ci pagheranno la pensione / pagare la pensione);
   3) non pagano tasse (non pagano tasse / pagare le tasse);
   4) sono mantenuti (sono mantenuti / essere mantenuti);
   5) sono curati (sono curati / essere curati);
   6) lavorano in nero e percepiscono sussidi o esenzioni (lavorano in nero e percepiscono sussidi o esenzioni / lavorare in nero e percepire sussidi o esenzioni).";"30% degli immigrati vivono in povertà;
2) gli immigrati non ci pagheranno la pensione;
3) gli immigrati non pagano tasse;
4) gli immigrati non lavorano;
5) gli immigrati ricevono sussidi/esenzioni;
6) negli 5 anni PD arrivarono circa 880.000 immigrati, principalmente clandestini.";;;;;;;;;
_1040873163490508800;gli stranieri sono delinquenti che hanno distrutto la nostra nazione (gli stranieri).;gli immigrati sono delinquenti;;;;;;;;;
_1112826519393652736;la Boldrini è responsabile dell'arrivo dei migranti non controllata (la Boldrini / avere responsabilità dell'arrivo dei migranti non controllata).;" Boldrini sostiene che gli immigrati siano una ""risorsa"" da utilizzare.";;;;;;;;;
_831877250110849024;i profughi sono solo utili per ripopolare le nostre scuole.;gli immigrati sono solo interessati alla nostra sostituzione.;;;;;;;;;
_1074297236815798272;i migranti hanno rotto le regole e hanno violato i diritti umani (i migranti, essere che hanno rotto le regole e hanno violato i diritti umani).;gli immigrati hanno rotto le Manifestazioni di Diritti e si fanno sentire.;;;;;;;;;
_822700325182341124;Rom sono animali.;una rom (donna) ha violato la mia privanza.;;;;;;;;;
_1072088625523892230;i migranti portano solo ignoranza e delinquenza (i migranti, essere caratterizzati da ignoranza e delinquenza).;gli immigrati sono violenti, ignoranti, criminali, parassiti e portano malattie.;;;;;;;;;
_1092464124209049602;i minorenni nati il 1 gennaio 2002 sono troppo robusti per avere tutti 17 anni (i minorenni nati il 1 gennaio 2002 / essere troppo robusti per avere tutti 17 anni).;gli immigrati sono parassiti;;;;;;;;;
