id;baseline_response;kg_response;BASE_EVAL_1;KG_EVAL_1;Stereo_eval_1;BASE_EVAL_2;KG_EVAL_2;Stereo_eval_2;BASE_EVAL_3;KG_EVAL_3;Stereo_eval_3
_1071408290582675456;i rom rubano e spacciano.;i rom sono ladri, parassiti sociali, approfittatori, criminali, tutelati, inferiore, nomadi e non vogliono lavorare.;2;5;SI;4;4;SI;3;3;SI
_1040649835576209409;i migranti sono poveri.;i migranti invadono l'Italia, rovinano l'Italia, non rispettano le leggi, tolgo soldi ai contribuenti, sono truffatori, criminali, parassiti e misogini.;2;3;SI;3;4;NO;1;;SI
_1122968634832322561;i criminali stranieri commettono stupri.;i criminali stranieri commettono stupri.;5;5;SI;5;5;SI;5;5;SI
_1070680782371479552;gli immigrati spacciano e delinquono.;gli immigrati sono truffatori, ladri, criminali, violenti, parassiti, irregolari.;5;2;;5;4;SI;5;3;SI
_1039985235549675520;gli stranieri vengono a delinquere qui.;gli stranieri delinquono in Italia.;4;4;;4;4;SI;4;4;SI
_1108149457118547968;i residenti sono preoccupati per il campo nomadi.;i rom sono pericolo, approfittatori, ladri, criminali, inferiori, mendicanti, animali.;3;5;;3;5;NO;1;3;SI
_785091341726330880;i bianchi italiani sono ricchi.;gli italiani sono tutti ricchi, i neri sono poveri.;1;1;NO;2;2;NO;1;1;NO
_803740090073812992;i migranti sono detenuti.;i detenuti sono il 70% dei migranti.;2;2;;2;2;NO;1;1;NO
_1116686604972765185;i clandestini africani, i rom fanno invasione.;i clandestini africani, i rom sono invasori, parassiti, approfittatori, criminali, mantenuti, avvantaggiati, non lavorano, sono feccia, ottusi, drogano, pretendono privilegi, rovinano l'Italia, tolgono soldi.;4;4;;4;2;SI;4;2;SI
_1120916863637229568;l'estremismo islamico uccide.;gli islamici uccidono per estremismo.;4;4;;5;5;SI;2;2;SI
_1112826519393652736;"i migranti sono ""risorse"".";i migranti sono animali, selvaggi, violenti, parassiti.;1;2;;1;5;NO;1;2;NO
_1053922777038774273;i campi rom sono degrado totale e i nomadi dei campi di Asti sono abitanti abusivi.;i rom sono criminali, parassiti, ladri, sporchi, mendicanti, benestanti, violenti, non hanno cura.;2;4;;2;4;SI;3;2;SI
_1055723237353668609;gli immigrati illegali stuprano, uccidono e delinquono.;gli immigrati sono delinquenti, stuprano e uccidono.;3;4;;4;4;SI;5;5;SI
_1073123236320284673;"gli islamici urlano ""Allah akbar""";"gli islamici urlano ""Allah akbar"".";1;1;;3;3;NO;1;1;NO
;i profugi sono quasi tutti clandestini.;i migranti sono selvaggi, criminali, parassiti.;1;1;;4;3;NO;2;1;SI
_1113376588089917440;i rom non subiscono l'invasione.;i rom sono parassiti, pericolo, sporchi, ladri, inferiori, autoritari, criminali.;2;5;;2;4;NO;1;3;NO
_1076084468363001857;gli immigrati sporcano la Toscana.;gli immigrati sono luridi, sporchi, parassiti, non rispettano le leggi, sono misogini, terroristi, animali, rovinano l'Italia, mendicanti, minaccia, portano malattie, invadono l'Italia, stuprano e tolgono soldi.;2;3;;2;3;NO;1;3;SI
_827245018616360960;i rom fanno rapine.;i rom sono ladri, parassiti, terroristi.;5;5;;3;4;SI;5;4;SI
_836864666173341696;i cittadini si augurano di avere un campo rom vicino a casa loro.;i rom sono maltrattano-bambini, ladri, sporchi, inferiori, parassiti.;1;2;;1;4;NO;1;3;NO
_1076013208882810880;gli islamici sono terroristi.;gli islamici sono terroristi.;5;5;;5;5;SI;5;5;SI
;i rom sommergono la città di immondizia.;i rom sommergono la città di immondizia.;3;3;;3;3;NO;5;5;SI
_1076840211403943936;i migranti portano malattie.;i migranti portano malattie.;5;5;;5;5;SI;5;5;SI
_1074145284727468033;i migranti sono avanguardie Isis, terroristi, stupratori e parassiti viziati dalla sinistra.;gli immigrati sono inferiori, non lavorano, mendicanti, spacciatori, criminali, terroristi, invasori, parassiti, approfittatori, truffatori.;1;1;;3;4;SI;2;3;SI
_1073133417817096193;i migranti africani scrocchiano il wifi in hotel.;i migranti africani scrocchiano il wifi in hotel.;1;1;;4;4;NO;1;1;NO
_1093425654438215682;i migranti chiedono soldi perché sono stolti.;i migranti sono privilegiati, ladri, selvaggi.;1;2;;2;4;NO;1;3;NO
_839566555721699331;i rom fanno scartare.;i rom non buttano via nulla, si presentano sempre per ritirare i materiali previsti e sono ladri.;1;1;;2;3;NO;1;1;NO
_843360562037903360;i rom, i sinti, i neri ecc. sono giarginesi.;gli italiani di origine rom, nera sono minaccia, criminali, violenti, che rovinano l'Italia, non lavorano, sono parassiti, fecce, terroristi e tutelati.;1;3;;2;4;NO;1;2;NO
_1117858518638317568;i migranti si nascondono tra i terroristi libici.;i libici sono terroristi.;2;3;;3;4;SI;2;3;NO
_1050871208114294785;l'Islam opprime le donne.;gli islamici sono violenti, pericolosi, estremisti, minacciosi, inferiori, approfittatori, selvaggi, non rispettano la legge e invadono l'Italia.;3;2;;4;2;SI;5;3;SI
_800792013331279872;i rom fanno comodo alla criminalità organizzata.;i rom fanno comodo alla criminalità organizzata.;3;3;;3;3;NO;2;2;NO
_1055834813771472897;gli immigrati vivono di furti e borseggi.;i rom sono ladri, parassiti, mendicanti, approfittatori.;1;3;;3;3;SI;1;1;SI
_1093188506782969856;i siriani commettono stupri.;i siriani sono animali, parassiti, selvaggi, criminali, violenti e truffatori.;3;5;;2;4;NO;3;3;SI
_820402350636601348;i rom rubano il rame.;i rom sono ladri.;3;5;;2;4;NO;4;5;SI
_1061673725777592320;gli immigrati islamici fanno sentire i tedeschi come stranieri in patria.;gli immigrati islamici rovinano il Paese dove vivono.;2;2;;3;4;NO;1;1;SI
_1092684582816763904;gli immigrati fanno aggressioni contro i nostri figli in tutta Europa.;gli immigrati sono criminali, selvaggi, violenti, terroristi, ladri, parassiti, privilegiati, tutelati.;1;1;;2;3;SI;1;2;SI
;la gente dell'Iran è pericolosa.;l'Islam offende la morale occidentale.;1;1;;3;3;SI;1;1;SI
_1045268116115206144;gli stranieri fanno truffe.;i fittimonssignori, truffatori, rapinatori, ricettatori, sequestratori sono stranieri.;;;;;;;;;
_1117793948641177601;i migranti libici fanno invadere l'Italia e l'Europa.;i migranti libici sono criminali, jihadisti, parassiti, ladri, terroristi.;;;;;;;;;
;i cristiani sono terroristi.;i cristiani sono terroristi, l'Islam è satanismo.;;;;;;;;;
_1039916875226988544;i migranti sono da prendere a casa perché non si vuole lasciarli in giro per le strade.;i migranti sono truffatori, approfittatori, parassiti, criminali, violenti, che portano malattie, tolgono soldi e non lavorano.;;;;;;;;;
_824885286408646660;i migranti commettono crimini.;i migranti sono violenti, ladri, parassiti, truffatori, portano malattie, sono spacciatori, criminali e ingannano gli italiani.;;;;;;;;;
;le nomadi fanno spese razziando e la cassiera è complice.;le nomadi fanno raggiro.;;;;;;;;;
_1047860863636582401;gli attuali immigrati fanno invadere l'Italia.;gli immigrati non sono profughi, invadono l'Italia, tolgono soldi, sono spacciatori, violenti, rovinano l'Italia, stuprano, sono ladri, criminali, autoritari.;;;;;;;;;
_1047872487537737729;i migranti stuprano, uccidono, sono scafisti, spacciatori.;i migranti stuprano, uccidono, sono spacciatori, giustificati con la scusa di necessità.;;;;;;;;;
_1052456135297564672;i rom sono ladri.;i rom sono ladri, parassiti.;;;;;;;;;
_784402404905259009;i migranti fanno proteste alla mensa di via Camoletti.;i migranti sono sporchi, selvaggi, misogini, irregolari, parassiti, violenti, non rispettano la legge, portano malattie, truffatori e ingannano gli italiani.;;;;;;;;;
_1059753843632824321;le nigeriane sono coinvolte nella prostituzione.;le nigeriane fanno la prostituzione, sono coinvolte in una rete mafiosa.;;;;;;;;;
_1055437992515510276;gli immigrati provenienti dall'estero commettono violenze contro le bambine italiane.;gli immigrati sono selvaggi, animali, criminali, terroristi, parassiti, inferiori e vanno puniti.;;;;;;;;;
_1077019204224798720;gli immigrati islamici fanno violenza.;gli islamici sono violenti, schifosi.;;;;;;;;;
_822700325182341124;le rom fanno cose incontrollate.;le rom sono culone.;;;;;;;;;
_1076548252567306240;i politici pensano a come accogliere più migranti da mantenere.;i migranti sono dei parassiti, stanno ingrassando le coop amiche e la Chiesa.;;;;;;;;;
_1055870993384775682;gli islamici fanno sottomissione.;gli islamici vogliono sottomettere tutta l'Europa.;;;;;;;;;
_1113829412582170624;i nomadi fanno spaccio, delinquenza, mafia, ladrocinio e stupro.;i nomadi sono delinquenti.;;;;;;;;;
_1113939925286772736;i rom hanno diritto all'accoglienza.;i rom sono parassiti, ladri, violenti.;;;;;;;;;
_1040662770700742656;i migranti economici sono rispettati se lavorano sodo.;i migranti economici sono parassiti, peso, tutelati, violenti, spacciano, criminali, irregolari, selvaggi, stuprano, sporchi, approfittatori, ladri, truffatori, terroristi.;;;;;;;;;
_1051847906041442304;i musulmani sono pronti ad aggredirci e sopraffarci.;i mussulmani sono pronti ad aggredirci e sopraffarci, sono estremisti, violenti, selvaggi, autoritari, non vogliono la democrazia, sono minaccia, terroristi, truffatori.;;;;;;;;;
;i migranti sono tutti uomini.;i migranti sono tutti uomini, quindi non sono veramente migranti.;;;;;;;;;
;i rom stanno invadendo le case della città.;i rom invadono l'Italia.;;;;;;;;;
_1087231202061373440;i migranti sono terroristi.;gli immigrati sono terroristi, parassiti, autoritari.;;;;;;;;;
_1088188860390170624;gli immigrati si drogano, vanno a puttane e stuprano le donne.;gli immigrati si drogano, vanno a puttane, stuprano le donne.;;;;;;;;;
_1120081986872328192;l'Islam sta minando la nostra società.;i musulmani sono un cancro per la società.;;;;;;;;;
_809176345750011905;i rom e i magrebini sono addetti allo spaccio e minacciano.;i rom sono ladri, aggressivi, minacciosi e parassiti.;;;;;;;;;
_1051705866146205696;i giudici coccolano criminali stranieri.;i giudici coccolano i criminali stranieri, i partiti e le istituzioni pagano gli stranieri e gettano in strada gli italiani, la stampa e gli economisti schifano la microimpresa italiana.;;;;;;;;;
_1093469605249585152;la magistratura, il PD, la stampa, il Vaticano, le TV e l'Islam italiano sono dietro un golpe.;gli islamici sono pericolosi, invadono l'Italia, vogliono convertire, sono terroristi, autoritari, approfittatori.;;;;;;;;;
_1052931090883710976;i migranti spaccano croci e bruciano effigi.;gli immigrati sono criminali, sporchi, misogini, portano malattie, invadono l'Italia, parassiti, privilegiati, approfittatori, inferiori, truffatori.;;;;;;;;;
_1040670006147776514;gli immigrati fanno delinquenza.;i migranti sono pigri, violenti, parassiti, truffatori, criminali.;;;;;;;;;
_1119682924616605696;i rom delinquenti fanno degrado nel campo.;i rom sono delinquenti, ladri, sporchi, parassiti.;;;;;;;;;
_1047180969940340736;i buonisti stipendiati fanno affari con i migranti.;i buonisti stipendiati fanno affari con i migranti.;;;;;;;;;
_1092464124209049602;i migranti sono portati in Italia per essere sfruttati.;gli immigrati sono parassiti, autoritari, irregolari, selvaggi, animali.;;;;;;;;;
_1049413092596244490;i rom chiedono elemosina, rubano e costringono i minori.;i Rom chiedono elemosina costringendo anche i minori e rubano.;;;;;;;;;
_787665043735322624;i rom truffano gli anziani.;i rom truffano gli anziani.;;;;;;;;;
_1060402773290897408;i migranti fanno danni.;i migranti rovinano l'Italia, sono autoritari, portano malattie, sono criminali, parassiti, hanno problemi, deturpano la città, sono pigri, inferiori, truffatori.;;;;;;;;;
_1072872128347656194;l'Islam non è una religione come le altre.;gli islamici sono barbari.;;;;;;;;;
_835193366228926468;i rom fanno scuse e via.;i rom sono ladri, approfittatori, parassiti, criminali.;;;;;;;;;
_1077278804496842753;gli immigrati sono stupratori e stuprano molte donne italiane.;gli immigrati sono stupratori, vittime assolute.;;;;;;;;;
_1055820179438030849;i rom sono ladri e parassiti.;i rom sono ladri, parassiti.;;;;;;;;;
_1092020219080597505;gli islamici fanno orrori.;gli islamici sono terroristi.;;;;;;;;;
_1047823582670327810;i migranti fanno violenza ai bambini.;i migranti violentano bambine, gli stranieri vanno tollerati e la cultura musulmana non prevede di non violentare bambine.;;;;;;;;;
_1068834428498132995;gli africani fanno sfruttamento.;gli immigrati africani fanno stare in casa l'Islam, sono ingrati, violenti.;;;;;;;;;
_1047595846651576320;gli islamici stuprano le donne.;gli islamici sono stupratori e non rispettano la donna.;;;;;;;;;
_1047757177769926657;i migranti fanno ammalarsi gravemente in Italia.;i migranti portano malattie.;;;;;;;;;
_1086567525184352256;"il comune PD paga ai profughi 1200€ al mese per fare i ""volontari"".";i profughi sono parassiti, truffatori, terroristi, criminali, deturpano la città, portano malattie, tolgono soldi.;;;;;;;;;
;i rom sono notoriamente appassionati di fughe.;i rom sono ladri e appassionati di fughe.;;;;;;;;;
_1040600167844667393;gli immigrati clandestini si fanno mantenere succhiando il nostro welfare.;i clandestini si fanno mantenere succhiando il nostro welfare.;;;;;;;;;
_809683293331460096;gli rom sono dei beneficiari di 7 milioni di euro.;i rom sono ladri, sporchi, parassiti, truffatori, animali, categoria, nomadi, minaccia, avvantaggiati, benestanti e non lavorano.;;;;;;;;;
_835515539858550784;i rom svaligiano le case degli altri.;i rom sono ladri, maltrattano i bambini, minacciano la sicurezza.;;;;;;;;;
_1063482351248965637;i migranti stanno invadendo l'Italia.;i migranti stanno invadendo l'Italia.;;;;;;;;;
