id;baseline_response;kg_response;bert_similarity_baseline;bert_similarity_kg;bert_similarity_diff
_1075499313432850432;gli immigrati rubano il lavoro, spacciano la droga e invadono l'Italia.;gli immigrati sono parassiti, peso, criminali, spacciano, non profughi, truffatori, portano malattie, deturpano la città, tolgono case.;0.8728979229927063;0.6200189590454102;-0.2528789639472961
_1054057420241207296;l'islam impone la sottomissione della donna.;gli islamici impongono la loro religione al mondo intero.;0.7439207434654236;0.4972392916679382;-0.2466814517974853
_849881218057478144;gli immigrati fanno diventare l'Italia un problema.;gli immigrati sono parassiti, terrorizzanti, criminali, spacciatori, sporchi, violenti.;0.8606652021408081;0.6139882802963257;-0.2466769218444824
_814089848059527168;i rom non sono accettati in un municipio di Roma.;i rom sono ladri, criminali, minaccia, invasori, sporchi.;0.7559651732444763;0.5185961723327637;-0.2373690009117126
_836326400059637761;le persone rom fanno disturbo ai clienti.;le rom disturbano i clienti.;0.633674144744873;0.3963591456413269;-0.2373149991035461
_1051692536580984833;gli islamici fanno il vero nazismo.;gli islamici sono minaccia, estremisti, violenti.;0.8653342127799988;0.633368730545044;-0.2319654822349548
_1055832676672901120;i ragazzi italiani sono dei coglioni, le donne italiane vengono stuprate da stranieri.;i migranti sono criminali, parassiti, approfittatori, invasori dell'Italia, mantenuti, feccia, animali che tolgono casi e rovinano l'Italia.;0.6918685436248779;0.4621056914329529;-0.229762852191925
_846765407100964864;i nomadi, gli immigrati africani e i cittadini dell'est Europa sono una risorsa per tutti.;i rom sono una risorsa per tutti.;0.5627781748771667;0.3403502106666565;-0.2224279642105102
_805385274087895040;i nomadi fanno incendi di rifiuti.;i rom danno fuoco ai rifiuti.;0.5784742832183838;0.3583444654941559;-0.2201298177242279
_1047860863636582401;gli attuali immigrati fanno invadere l'Italia.;gli immigrati non sono profughi, invadono l'Italia, tolgono soldi, sono spacciatori, violenti, rovinano l'Italia, stuprano, sono ladri, criminali, autoritari.;0.930831253528595;0.7119361162185669;-0.218895137310028
_803740090073812992;i migranti sono detenuti.;i detenuti sono il 70% dei migranti.;0.7092176675796509;0.4922924637794494;-0.2169252038002014
_1076569685188063232;i mussulmani sono animali.;i mussulmani sono inferiori, terroristi, selvaggi, autoritari, minaccia, violenti, estremisti.;0.8232852220535278;0.6138388514518738;-0.209446370601654
_1091336120590311424;i migranti sono delinquenti.;i migranti delinquenti clandestini rovinano l'Italia.;0.9582481980323792;0.7488409280776978;-0.2094072699546814
_1053268375013613570;gli stranieri sono clandestini, non parlano italiano.;i bambini degli italiani non potranno avere un buon livello di istruzione a causa dell'invasione di stranieri e clandestini.;0.6385371088981628;0.4357478022575378;-0.202789306640625
_831877250110849024;i profughi pensano solo alla sostituzione degli italiani.;i profughi sono selvaggi, irregolari, violenti, tutelati, parassiti, non-profughi, che stuprano, criminali, mendicanti, pigri e protetti.;0.627529501914978;0.4276549518108368;-0.1998745501041412
;i politici (di Roma) dimenticano le famiglie e le periferie mentre pensano ai rom e ai vegani.;i rom sono parassiti, ladri, criminali, violenti, sporchi.;0.5549654960632324;0.3646295666694641;-0.1903359293937683
;i profughi sono terroristi.;i migranti sono terroristi, delinquenti.;0.9221636652946472;0.7331815958023071;-0.1889820694923401
_1051603605915099137;gli islamici occupano le terre e si impossessano degli occidentali tramite la conversione.;gli islamici stanno conquistando l'Italia, invadendo l'Italia, non vogliono la democrazia, sono permissivi, estremisti, terroristi, minaccia, non rispettano la legge, sono approfittatori, truffatori.;0.8431848287582397;0.6548753976821899;-0.1883094310760498
_1091357454737190913;i migranti invadono l'Italia dall'interno con le donne incinte, e in futuro anche dall'esterno.;i mussulmani sono approfittatori, terroristi, non vogliono la democrazia, violenti, minaccia, autoritari, inferiori, pericolosi, selvaggi e invadenti.;0.624099850654602;0.4368573427200317;-0.1872425079345703
_842465763806052357;i rom non cercano lavoro, i rom non pagano tasse in Italia.;i rom sono parassiti, ladri, nomadi, minaccia per l'Italia, criminali, violenti, rubano soldi, non si integrano e tolgono soldi.;0.6979127526283264;0.5136553645133972;-0.1842573881149292
_1122185432257716225;le masse islamiche uccidono i cani infedeli.;i maomettani uccidono i cani infedeli.;0.5560708045959473;0.3724130094051361;-0.1836577951908111
_1071115367437778945;i migranti sono delinquenti.;gli immigrati sono animali, parassiti, terroristi, irregolari, che invadono l'Italia, non lavorano, portano malattie, sono minaccia, autoritari, violenti e criminali.;0.9582481980323792;0.774758517742157;-0.1834896802902221
_1091216503372947456;gli immigrati invadono l'Italia.;i migranti sono invasori.;0.8797435164451599;0.6973405480384827;-0.1824029684066772
_1071408290582675456;i rom rubano e spacciano.;i rom sono ladri, parassiti sociali, approfittatori, criminali, tutelati, inferiore, nomadi e non vogliono lavorare.;0.6769763231277466;0.4998404383659363;-0.1771358847618103
_1120264821818183680;i migranti vengono mantenuti finti profughi.;i migranti invadono l'Italia.;0.5986728668212891;0.423631876707077;-0.175040990114212
_1074297236815798272;i migranti sono parassiti.;i migranti sono parassiti, inganni, terroristi, inferiori, criminali, ladri, autoritari, tutelati.;0.9926354885101318;0.8185117840766907;-0.1741237044334411
;gli immigrati sono delinquenti.;gli immigrati sono delinquenti, hanno problemi, sono selvaggi, minaccia, trattano male le persone, rubano soldi, non rispettano le leggi, sono un peso per l'Italia.;0.9248714447021484;0.7541582584381104;-0.170713186264038
_1114803559164469248;i profughi fanno i falsi lavoratori.;i finti profughi fanno la fame alle badanti, sono pezzi di merda.;0.5755454301834106;0.4081529378890991;-0.1673924922943115
_1112491711522062341;"i figli non servono; i bambini si comprano; gli stranieri sono sostituibili ai bambini.";i figli non servono a essere famiglia, i gay comprano bambini, le femministe uccidono embrioni se sono infetti, gli stranieri sostituiscono i figli, i minoranza etnica sono truffatori, criminali, avvantaggiati, minaccia, terroristi, parassiti, approfittatori, feccia, criminali, migranti, irregolari, rovinano l'Italia, sono mantenuti.;0.6238099932670593;0.4576813578605652;-0.1661286354064941
_1072225548120875009;gli immigrati invadono l'Italia.;gli immigrati sono parassiti, stuprano, portano malattie, invadono l'Italia, non sono profughi, sono criminali, violenti, spacciano, rovinano l'Italia, autoritari.;0.8797435164451599;0.7145401239395142;-0.1652033925056457
;la gente dell'Iran è pericolosa.;l'Islam offende la morale occidentale.;0.3312906324863434;0.168049931526184;-0.1632407009601593
_1076452379292241922;i migranti sono invasori.;i migranti sono parassiti, criminali, selvaggi, violenti, ingrati, ignoti, invasori, irregolari.;0.6973405480384827;0.5365731716156006;-0.160767376422882
_1054165809453506561;i marocchini sono spacciatori.;il 27enne del Marocco è uno spacciatore, una risorsa straniera.;0.3853549063205719;0.2302593290805816;-0.1550955772399902
_1092293262172450833;l'islam non è compatibile con la religione cristiana.;gli immigrati islamici non possono essere integrati con la cultura cristiana.;0.7105897665023804;0.5593298077583313;-0.151259958744049
_825408756376858624;i rom devastano e sporcano le città italiane.;i rom sono parassiti, sporchi, ladri, delinquenti.;0.4076979756355285;0.2573164999485016;-0.1503814756870269
_1090760672764416000;gli immigrati stanno rubando prebende di accoglienza.;gli immigrati invadono l'Italia.;0.7227848768234253;0.5747150778770447;-0.1480697989463806
_1112622758892986368;i clandestini invadono l'Italia.;la Boldrini appoggia l'invasione clandestina incontrollata.;0.421207994222641;0.2733293771743774;-0.1478786170482635
_1054038840338452482;gli africani fanno il lavoro degli italiani.;i nomadi sono parassiti, autoritari, minaccia, sporchi, violenti, avvantaggiati, vivono in campi, criminali, approfittatori e tolgono case.;0.3341987133026123;0.1881262958049774;-0.1460724174976349
_1040519528860528641;i profughi fanno invasione.;i profughi tolgono case.;0.6059345006942749;0.461156964302063;-0.1447775363922119
_824885286408646660;i migranti commettono crimini.;i migranti sono violenti, ladri, parassiti, truffatori, portano malattie, sono spacciatori, criminali e ingannano gli italiani.;0.9501466751098632;0.8070756196975708;-0.1430710554122924
_1047595846651576320;gli islamici stuprano le donne.;gli islamici sono stupratori e non rispettano la donna.;0.9215153455734252;0.7804503440856934;-0.1410650014877319
_1049891187535073283;gli immigrati nudi fanno uno schifo.;gli immigrati girano nudi al balcone.;0.5529842972755432;0.4125490188598633;-0.1404352784156799
_1120081986872328192;l'Islam sta minando la nostra società.;i musulmani sono un cancro per la società.;0.8464381694793701;0.7076278924942017;-0.1388102769851684
_801874347518464000;gli immigrati fanno quello che vogliono in Italia.;gli immigrati sono liberi di fare quello che vogliono.;0.4592902362346649;0.3211894631385803;-0.1381007730960846
_1068545906629402626;i migranti non stanno aiutando i nostri anziani e le famiglie italiane.;Le istituzioni avvantaggiano i rom.;0.6523114442825317;0.5150759220123291;-0.1372355222702026
_1055847291276292098;i migranti sono spacciatori.;i migranti sono spacciatori, razzisti, criminali, selvaggi, autoritari, ingrati.;0.9287477135658264;0.7928575277328491;-0.1358901858329773
_1040873163490508800;i migranti clandestini sono delinquenti.;i migranti sono delinquenti, selvaggi, irregolari, portatori di malattie, privilegiati, parassiti, criminali, pigri, truffatori, ladri, violenti, non profughi.;0.949134647846222;0.8212957382202148;-0.127838909626007
_856053098325958656;i nomadi si introducono in casa.;un nomade si introduce in casa.;0.3528242707252502;0.2252304852008819;-0.1275937855243683
_1040011593013227522;gli immigrati fanno delinquere.;gli immigrati sono ingrati, parassiti, violenti, truffatori, tutelati, criminali, privilegiati.;0.9052340388298036;0.7789498567581177;-0.1262841820716858
_838198482255114242;le donne rom fanno del rumore e rubano ai cittadini.;le donne rom non hanno paura di niente, rubano e maltrattano bambini.;0.6662442684173584;0.5405093431472778;-0.1257349252700805
;gli immigrati sono di merda, irregolari, clandestini, ladri, stupratori.;gli immigrati sono ladri.;0.7590956687927246;0.6335121393203735;-0.125583529472351
;i migranti sono clandestini.;gli immigrati clandestini sono ladri, truffatori, parassiti.;0.8462308645248413;0.7235794067382812;-0.12265145778656
;i rom sono italiani discriminati.;i rom sono criminali, ladri, sporchi, inferiori, nomadi, che tolgono soldi agli italiani.;0.7329951524734497;0.6130694150924683;-0.1199257373809814
_824168449098321921;gli ambientalisti, i pro migranti e i clandestini fanno parte di tutti gli attori e attrici famosi politicamente corretti.;gli attori e le attrici famose sono quasi tutti politicamente corretti, ambientalisti, pro migranti o clandestini.;0.3956742286682129;0.2779924273490906;-0.1176818013191223
_1039985235549675520;gli stranieri vengono a delinquere qui.;gli stranieri delinquono in Italia.;0.869679868221283;0.7524325251579285;-0.1172473430633544
_821685419406401536;i rom mandano i bimbi a elemosinare, rubare e spacciare.;i rom fanno elemosina, rubano, spacciano.;0.3228211998939514;0.2076128125190735;-0.1152083873748779
_1092810700874047496;gli stranieri ricevono favori a scapito degli italiani.;gli stranieri sono immigrati, otterranno a prescindere il rinnovo del permesso di soggiorno senza lavorare, rimarranno in Italia a scapito degli italiani.;0.7496825456619263;0.6355252265930176;-0.1141573190689086
_1112633742152081408;gli immigrati analfabeti fanno lavorare poco.;i migranti sono analfabeti, delinquenti, parassiti, ladri, selvaggi.;0.6175268292427063;0.5062533020973206;-0.1112735271453857
_1050854890908655618;i migranti africani sono delinquenti.;i migranti clandestini africani sono delinquenti, parassiti, irregolari, terroristi, spacciatori, animali e ingannano gli italiani.;0.9590198397636414;0.8484489917755127;-0.1105708479881286
_1065006490891767808;i #Burioni di #sinistra hanno un ruolo nella gestione delle epidemie.;gli immigrati sono inferiori.;0.5618817806243896;0.4524213075637817;-0.1094604730606079
_1050001276120064000;i migranti hanno diritto a soldi, gli italiani invece no.;i migranti sono parassiti, tutelati, selvaggi, violenti, spacciano, criminali, terroristi, non lavorano, tolgono soldi e rovinano l'Italia.;0.7409162521362305;0.6324810981750488;-0.1084351539611816
_1077025818164035584;i centri Islamici sono violenti.;il mondo libero non dovrebbe tollerare i centri islamici perché l'Islam è un violento culto di morte e sopraffazione.;0.8041297197341919;0.6976153254508972;-0.1065143942832946
_831382315259555840;la 'ndrangheta crea un impero con i centri profughi.;l'uomo della ‘ndrangheta è amico di Alfano ed ha creato un impero con i centri profughi.;0.2837847471237182;0.1782449632883072;-0.105539783835411
_1054307948879667200;i clandestini islamici fanno qualcosa di pericoloso.;i clandestini islamici invadono l'Italia.;0.4770364463329315;0.3716440200805664;-0.1053924262523651
_785091341726330880;i bianchi italiani sono ricchi.;gli italiani sono tutti ricchi, i neri sono poveri.;0.5755336284637451;0.4704158902168274;-0.1051177382469177
_1116686604972765185;i clandestini africani, i rom fanno invasione.;i clandestini africani, i rom sono invasori, parassiti, approfittatori, criminali, mantenuti, avvantaggiati, non lavorano, sono feccia, ottusi, drogano, pretendono privilegi, rovinano l'Italia, tolgono soldi.;0.7131389379501343;0.6094818115234375;-0.1036571264266967
_1055433382757306368;gli immigrati fanno violenza alle ragazze.;gli immigrati sono animali, ingrat i, irregolari, parassiti, truffatori, stuprano.;0.7895954847335815;0.6883031129837036;-0.1012923717498779
_1041002331658182656;i migranti sono poveri.;i migranti sono brave persone.;0.564055323600769;0.4628594219684601;-0.1011959016323089
_1092527469264076800;i migranti africani e islamici fanno invadere l'Italia.;i migranti africani e islamici sono parassiti, minaccia, criminali.;0.7473556399345398;0.6513018012046814;-0.0960538387298584
_1114252166854795264;i migranti africani sono pericolosi.;gli immigrati sono pericolosi, invadenti, rovinanti, violenti, criminali, musulmani, privilegiati, parassiti, trattati con indulgenza, che tolgono case ai cittadini italiani, ingrati, animali, portatori di malattie, non profughi, stupratori e approfittatori.;0.8313524723052979;0.7371664047241211;-0.0941860675811767
_1052456135297564672;i rom sono ladri.;i rom sono ladri, parassiti.;0.9868978261947632;0.8937933444976807;-0.0931044816970825
_1039924844790525952;gli stranieri aggrediscono, stuprano e uccidono gli italiani.;gli stranieri aggrediscono gli italiani.;0.6899005770683289;0.598057210445404;-0.0918433666229248
_1040274706211983360;i nigeriani fanno problemi in Campania.;i nigeriani sono parassiti.;0.6795881390571594;0.5899160504341125;-0.0896720886230468
;il ventenne nomade del campo di via Salviati è colpevole della morte della studentessa cinese.;il ventenne nomade del campo di via Salviati è fermato per l'omicidio della studentessa cinese.;0.2362719774246215;0.1486088931560516;-0.0876630842685699
_835091818048012289;i rom sono ladri, bugiardi e meschini.;i rom sono sporchi, ladri, bugiardi, parassiti, criminali.;0.8947461843490601;0.8072726726531982;-0.0874735116958618
_1074360989724893184;gli immigrati fanno islamizzazione della nazione.;i mussulmani sono violenti, terroristi, minaccia, estremisti, pericolosi, inferiori, approfittatori che invadono l'Italia.;0.6722270250320435;0.5850013494491577;-0.0872256755828857
_1117858518638317568;i migranti si nascondono tra i terroristi libici.;i libici sono terroristi.;0.8087359666824341;0.7221450805664062;-0.0865908861160278
_1074972529813569536;l'Islam non è buono.;l'Islam non è una religione come le altre, l'Islam buono non esiste.;0.7021147608757019;0.6161426901817322;-0.0859720706939697
_807883975406587905;i rom sono criminali.;i rom sono ladri, criminali, sporchi, tutelati, terroristi.;0.9828120470046996;0.8969306945800781;-0.0858813524246215
_836331148993314816;le rom molestano le persone.;le donne rom molestano le persone.;0.6775833964347839;0.5929099917411804;-0.0846734046936035
_1049413092596244490;i rom chiedono elemosina, rubano e costringono i minori.;i Rom chiedono elemosina costringendo anche i minori e rubano.;0.8108478784561157;0.7263116836547852;-0.0845361948013305
_1086523603598880768;l'Islam accetta la pedofilia.;i musulmani fanno perversioni.;0.840603232383728;0.7566229104995728;-0.0839803218841552
_1040725645838479360;gli immigrati sono clandestini.;gli immigrati sono parassiti, criminali, selvaggi, violenti, non-profughi, inferiori.;0.5726535320281982;0.4896817803382873;-0.0829717516899108
