id;baseline_response;kg_response;bleu_similarity_baseline;bert_similarity_baseline;rouge_similarity_baseline;bleu_similarity_kg;bert_similarity_kg;rouge_similarity_kg;bert_similarity_diff
_785091341726330880;i rom sono aiutati perché vengono considerati poveri.;I neri sono poveri.;0.165081030445542;0.5286643505096436;0.5;0.0610332203119731;0.1697571128606796;0.5;-0.3589072376489639
_1040274706211983360;i nigeriani sono un problema.;Gli immigrati sono un problema per Italia.;0.0456496931223525;0.7552308440208435;0.2;0.0323593484897578;0.4101985394954681;0.3333333333333333;-0.3450323045253753
_849129760521424896;i rom sono pericolosi;I rom sono ladri.;0.7788007830714049;0.8893949389457703;0.888888888888889;0.1310090500134727;0.544561505317688;0.6666666666666665;-0.3448334336280823
_1116686604972765185;Gli africani, i rom e le persone dell'est Europa sono clandestini che schiavizzano gli italiani.;minoranza_etnica sono pericolosi;0.0165914393251639;0.7705450057983398;0.1818181818181818;0.0;0.4296576976776123;0.0;-0.3408873081207275
_1113610599748046858;gli stranieri delinquono;Gli stranieri che delinquono in Italia dovrebbero essere puniti con condanne esemplari.;0.1517468156679355;0.9487804174423218;0.5714285714285715;0.020044994979069;0.6109372973442078;0.25;-0.337843120098114
_1089078966818951170;Gli immigrati mandano le donne a prostituirsi, vendono merce contraffatta e si ubriacano.;immigrati sono pericolosi;0.0442496741063549;0.840701699256897;0.2222222222222222;0.0372214575392242;0.5055967569351196;0.25;-0.3351049423217773
_827245018616360960;i rom sono rapinatori seriali.;"#rom che hanno ""provocato"" la morte della cinese! Ai domiciliari nel #campoRom! Rieducazione #PD";0.2995098143629104;0.8192794919013977;0.6;0.0;0.484941154718399;0.1052631578947368;-0.3343383371829986
_1083679649354448898;I gay e le lesbiche saranno massacrati se l'Islam prenderà piede.;gay e lesbiche sono in pericolo;0.0;0.5741771459579468;0.0;0.0;0.2443296611309051;0.0;-0.3298474848270416
_1112826519393652736;I migranti stanno invadendo l'Italia.;i migranti sono un pericolo;0.0456496931223525;0.9368159770965576;0.6666666666666666;0.1212109352564212;0.6153829097747803;0.3636363636363636;-0.3214330673217773
_1115271514046259202;gli immigrati sono pericolosi.;La stessa associazione che ti definisce razzista se sei contrario ad una immigrazione selvaggia e incontrollata.;0.0475327197723342;0.8905489444732666;0.2222222222222222;0.0;0.5822608470916748;0.0;-0.3082880973815918
_846765407100964864;i nomadi sono una risorsa.;Gli immigrati africani e dell'est europeo sono una risorsa.;0.0600783748175842;0.6348863840103149;0.4000000000000001;0.0257328502527341;0.3495054543018341;0.1333333333333333;-0.2853809297084808
_1112977150741708805;gli stranieri sono delinquenti.;L'Italia è piena di delinquenti.;0.0481955361073579;0.4653357863426208;0.3076923076923076;0.0;0.1806336939334869;0.0;-0.2847020924091339
_1068128164885528576;gli stranieri sono tutelati contro gli italiani.;Gli stranieri sono tutelati contro noi e ci costano soldi.;0.0;0.7003556489944458;125;0.0;0.4186265468597412;0.0;-0.2817291021347046
;i rom meschiano la differenziata.;i #rom vengono e mischiano tutto!;0.1212109352564212;0.7377521991729736;0.5;0.0375934046415699;0.4624727964401245;0.4444444444444444;-0.2752794027328491
_856060336801161217;i rom sono ladri.;I nomadi sono ladri.;0.1310090500134727;0.5769842267036438;0.4444444444444445;0.0;0.3090525865554809;0.2222222222222222;-0.2679316401481628
;gli algerini sono terroristi.;Gli immigrati sono dei terroristi.;0.4314682729389864;0.9910383224487304;1.0;0.0456496931223525;0.7231549024581909;0.6666666666666665;-0.2678834199905395
_1093469605249585152;L'Islam italiano sta per compiere un golpe.;musulmani sono pericolosi;0.0;0.7788681387901306;0.1428571428571428;0.0372214575392242;0.5125851631164551;0.2222222222222222;-0.2662829756736755
_1124322526434418693;gli immigrati sono poltroni.;Gli immigrati sono persone ignoranti e poltrone che rovinano l'Italia.;0.0475327197723342;0.854278028011322;0.2222222222222222;0.023457495174891;0.5906274318695068;125;-0.2636505961418152
_1040885198139940866;i clandestini sono finti migranti.;I clandestini devono essere bloccati, i trafficanti di esseri umani arrestati e i terroristi giudicati.;0.0542869398587923;0.7730261087417603;0.4000000000000001;0.0165914393251639;0.5098801851272583;0.1;-0.2631459236145019
_1080796121004429313;gli immigrati sono padroni di interi quartieri.;siano padroni di interi quartieri, non è criminoso e disumano;0.0;0.4555868804454803;0.0;0.0;0.1995297819375991;0.0;-0.2560570985078811
_1047180969940340736;I migranti fanno affari.;immigrati sono un problema;0.0;0.6048751473426819;0.0;0.0475327197723342;0.3503900170326233;0.2222222222222222;-0.2544851303100586
_1076569685188063232;i musulmani fanno lo stupro, lo spaccio, assassinano e squartano.;I mussulmani vogliono conquistare l'Italia.;0.0569508499822196;0.6027524471282959;0.2857142857142857;0.0;0.3484448194503784;0.2;-0.2543076276779175
_1051692536580984833;l'islam è nazismo.;i mussulmani sono un pericolo;0.0;0.8794733285903931;0.0;0.2995098143629104;0.6258411407470703;0.6666666666666665;-0.2536321878433227
_1051603605915099137;l'islam occupa le terre e converte gli occidentali.;"l'occupazione delle terre e la conversione degli ""infedeli"" occidentali. Con i miliardi dei suoi paesi canaglia, e i clandestini ""cavallo di Troia"" del buonismo idiota ed interessato";0.0;0.839769721031189;0.1333333333333333;0.0101526565085061;0.5900542140007019;0.0588235294117647;-0.249715507030487
_1074297236815798272;i migranti sono parassiti.;Gli immigrati sono parassiti che ingannano gli italiani.;0.4314682729389864;0.9926354885101318;1.0;0.0712272271013262;0.7447434663772583;0.3333333333333333;-0.2478920221328735
_1041036737521311745;i rom sono stupratori.;Gli immigrati sono criminali e violenti.;0.4314682729389864;0.7368172407150269;0.75;0.0375934046415699;0.4954010546207428;0.2;-0.241416186094284
_824178773859954689;le zingare rom mentono.;La zingara rom è stata condannata per aver mentito accusando un poliziotto.;0.0224528669812622;0.4833098948001861;0.1666666666666666;0.020044994979069;0.2423428297042846;0.1052631578947368;-0.2409670650959015
_1086523603598880768;l'islam è perverso.;L'Islam non può essere accettato nella nostra società.;0.0;0.6829630136489868;0.0;0.0;0.4493870139122009;0.0;-0.2335759997367859
_1053601345192804352;i migranti sono delinquenti.;I nostri migranti non sono come questa gentaglia qui.;0.4314682729389864;0.7110211253166199;0.75;0.030601688609851;0.4782622158527374;0.4615384615384615;-0.2327589094638824
_1054692672802340864;gli immigrati clandestini sono stupratori e spacciatori.;gli immigrati sono criminali;0.081939171811711;0.9338047504425048;0.3636363636363636;0.0610332203119731;0.7044264674186707;0.25;-0.2293782830238342
_1046998114446512128;i migranti sono pericolosi.;Gli immigrati sono ingrati e portano malattie.;0.3360278288353492;0.9284958839416504;0.6666666666666665;0.0323593484897578;0.6997435688972473;0.1666666666666666;-0.228752315044403
_1048452198265511936;le religioni sono deleterie.;il dogma è una prigione per la mente, da qualunque parte venga .;0.0;0.5948781967163086;0.0;0.0489703142861345;0.3688893020153045;125;-0.225988894701004
_1047030447920885761;i migranti rubano.;Gli immigrati rubano cose tue.;0.108731344705945;0.7665995955467224;0.5;0.0;0.55136638879776;0.0;-0.2152332067489624
_842465763806052357;i rom non cercano lavoro.;I rom non cercano lavoro, non pagano le tasse e vogliono case gratis.;0.2995098143629104;0.7919973134994507;0.6666666666666665;0.0442496741063549;0.5828293561935425;0.3529411764705882;-0.2091679573059082
_1067384069648982017;i musulmani sono manovrati dall'ideologia.;Le donne italiane che promuovono l'accoglienza dei mussulmani sono ignoranti.;0.0600783748175842;0.6268656253814697;0.3636363636363636;0.023457495174891;0.418923556804657;125;-0.2079420685768127
;i rom fanno violenza ai cittadini.;i rom sono delinquenti;0.09717716588732;0.5694515705108643;0.3636363636363636;0.1310090500134727;0.3620215058326721;0.4444444444444445;-0.2074300646781921
_1040141906079043584;Gli stranieri scapparebbero dall'Italia.;immigrati sono pericolosi;0.0;0.6723263263702393;0.1818181818181818;0.0;0.4686035513877868;0.0;-0.2037227749824524
_1088188860390170624;Gli immigrati si drogano, vanno a prostituirsi e stuprano le donne.;immigrati sono pericolosi;0.0215982650522116;0.8450096845626831;0.1428571428571428;0.0;0.6455615758895874;0.0;-0.1994481086730957
_1088180445634850817;i migranti lavorano clandestinamente.;I migranti pagano lo stipendio ai contribuenti.;0.1682189500334145;0.6811668276786804;0.5;0.0323593484897578;0.4833102822303772;0.3636363636363636;-0.1978565454483032
;i migranti faranno invadere l'Italia.;Gli immigrati invaderanno l'Europa.;0.1341419505182476;0.9462406039237976;0.8333333333333334;0.0;0.7487996816635132;0.1818181818181818;-0.1974409222602844
_826385428664221697;I musulmani considerano le donne inferiori.;musulmani sono pericolosi;0.0;0.7348155379295349;0.0;0.0;0.5374107956886292;0.0;-0.1974047422409057
_1052452459770200065;le donne musulmane non vogliono lavorare.;non vogliono che le loro donne imbacuccate vadano a lavorare, non si lamentassero poi se fanno la fame! Hannorottoilcazzo!;0.0269368514967548;0.6506925821304321;0.1428571428571428;0.0136091396159966;0.4547851085662842;0.074074074074074;-0.1959074735641479
_1055433382757306368;gli immigrati sono violenti.;Gli immigrati sono spacciatori e stupratori.;0.0610332203119731;0.9429414868354796;0.5;0.0375934046415699;0.7506627440452576;0.2;-0.1922787427902221
_1089582384306110467;gli stranieri devono comportarsi bene.;Gli stranieri sono ospiti che devono comportarsi bene in Italia.;0.0992391203037763;0.6289051175117493;0.3636363636363636;0.023457495174891;0.4379810094833374;0.25;-0.1909241080284118
_835193366228926468;I rom sono pericolose.;i rom sono ladri;0.1310090500134727;0.9142067432403564;0.6666666666666665;0.3360278288353492;0.7237362861633301;0.6666666666666665;-0.1904704570770263
_1040873163490508800;i immigrati clandestini sono delinquenti.;Gli immigrati sono criminali che hanno distrutto l'Italia.;0.0542869398587923;0.9219274520874025;0.4444444444444445;0.0712272271013262;0.7319005131721497;0.3076923076923076;-0.1900269389152526
;i profughi sono clandestini.;I immigrati sono quasi tutti clandestini.;0.0625565772573222;0.6072558164596558;0.4444444444444445;0.0375934046415699;0.4254035353660583;0.3636363636363636;-0.1818522810935974
_1047595846651576320;gli islamici stuprano le donne.;i musulmani sono violenti;0.0456496931223525;0.9215153455734252;0.25;0.1682189500334145;0.7424361109733582;0.5714285714285715;-0.1790792346000671
_1073123236320284673;gli musulmani fanno violenza.;L'Islam non è una religione di pace.;0.0;0.8629703521728516;0.2;0.0323593484897578;0.6858190894126892;0.1538461538461538;-0.1771512627601623
;i migranti sono clandestini.;Gli immigrati clandestini sono la versione piddina di clandestino.;0.3360278288353492;0.8462308645248413;0.6666666666666665;0.0257328502527341;0.6707247495651245;0.1428571428571428;-0.1755061149597168
_782580539907710976;i rom sono ricchi e criminali.;Le donne rom sono ricche e parassiti.;0.233766413847922;0.738027811050415;0.6;0.081939171811711;0.5654716491699219;0.3636363636363636;-0.1725561618804931
_1074217865744662528;i migranti sono feccia .;Gli immigrati sono una feccia.;0.3218442408004343;0.9172899127006532;0.888888888888889;0.0456496931223525;0.7448630332946777;0.4000000000000001;-0.1724268794059753
_1081197526840233984;le persone nomadi rubano soldi.;I rom rubano.;0.0;0.7492618560791016;0.0;0.0519467286215556;0.5786592960357666;0.5714285714285715;-0.1706025600433349
_1122968634832322561;gli stranieri commettono stupri;Gli stupri commessi da criminali stranieri sono vergognosi.;0.1682189500334145;0.9825079441070556;0.5714285714285715;0.0285996171617138;0.8120256066322327;0.3636363636363636;-0.170482337474823
;i rom perseguitano i podisti.;I rom perseguitano gli atleti.;0.0665219716905636;0.4834963083267212;0.3076923076923077;0.0250530827696685;0.3135060667991638;0.3076923076923077;-0.1699902415275573
_1049951799925506049;Il PD o il PDL renderanno l'Italia un letamaio dove daranno le case agli immigrati.;immigrati sono pericolosi;0.0839201047069398;0.6915614604949951;0.2608695652173912;0.0;0.52397620677948;0.0;-0.1675852537155151
_1078609414276431872;le donne che lavorano in pronto soccorso pieni di immigrati sono state stuprate.;Gli immigrati sono violenti e pericolosi.;0.0;0.8068419098854065;0.0;0.0;0.6432485580444336;0.0;-0.1635933518409729
_1048999646419460097;gli immigrati sono vittime.;Gli immigrati sono una minaccia per la sicurezza perché aumentano le vittime dei crimini.;0.0475327197723342;0.6635539531707764;0.2222222222222222;0.0175854218944089;0.5015790462493896;0.1052631578947368;-0.1619749069213867
_1069896436123357190;gli immigrati chiedono l'elemosina.;i immigrati sono parassiti;0.0;0.621598482131958;0.0;0.0475327197723342;0.4624540209770202;0.2222222222222222;-0.1591444611549377
_1092527469264076800;i migranti africani e islamici stanno invadendo l'Europa.;Gli immigranti africani e islamici stanno distruggendo l'Europa.;0.0788258844234265;0.8789655566215515;0.6666666666666667;0.0340108682150639;0.7208439111709595;0.6666666666666667;-0.158121645450592
_1054663321197182976;Gli stranieri provenienti dal Continente nero sono il vero problema.;immigrati sono pericolosi;0.023457495174891;0.7969962954521179;125;0.0266703397520469;0.6397229433059692;0.2222222222222222;-0.1572733521461486
_1055832676672901120;gli stranieri stuprano le donne italiane.;Gli stranieri stuprano le donne italiane e i politici non lo dicono perché sono buoni.;0.233766413847922;0.780487060546875;0.6666666666666666;0.0386805269754215;0.623557984828949;0.3333333333333333;-0.156929075717926
;i rom sono manolesti.;i rom sono criminali;0.1587283071320016;0.664971113204956;0.5;0.1587283071320016;0.5082834959030151;0.5;-0.1566876173019409
_816368276951416834;gli immigrati sono clandestini.;Gli immigrati sono clandestini e non hanno diritto in Italia.;0.0475327197723342;0.7817803621292114;0.2222222222222222;0.023457495174891;0.6255441904067993;0.1333333333333333;-0.1562361717224121
_1039924251849981952;i profughi sono finti .;Gli immigrati prendono i soldi degli italiani bisognosi.;0.0600783748175842;0.5193921327590942;0.4444444444444445;0.0285996171617138;0.36412313580513;0.1538461538461538;-0.1552689969539642
_1089980049447636994;i migranti rubano i lavori agli italiani.;i migranti rubano i lavori;0.2074834071308376;0.969961166381836;0.7142857142857143;0.2007674325518719;0.8166241645812988;0.5;-0.1533370018005371
_838835696488022017;Ai rom vengono date case.;i rom sono una priorità;0.0305999043952881;0.6968453526496887;0.3333333333333333;0.0812501197011072;0.543578028678894;0.3333333333333333;-0.1532673239707946
_801475257471270913;i rom sono borseggiatori.;rom, borseggi;0.3360278288353492;0.6340432167053223;0.6666666666666665;0.0;0.482740968465805;0.2857142857142857;-0.1513022482395172
_1073277543254540288;gli immigrati vendono droga.;Gli immigrati in Svizzera sono ordinati e civili.;0.0;0.46527761220932;0.0;0.0;0.3147627115249634;0.0;-0.1505149006843567
_783675694203146240;i campi rom costano molto denaro.;I rom vivono in campi.;0.0447063442769312;0.516238808631897;0.3333333333333333;0.0373748076278424;0.365868479013443;0.3636363636363636;-0.1503703296184539
;gli immigrati illegali devono essere rimpatriati collettivamente, carcerati e detenuti forzatamente.;Gli immigrati illegali devono essere rimpatriati collettivamente.;0.0;0.7655506134033203;0.0;0.0;0.6169936656951904;0.0;-0.1485569477081298
_1068211329746563073;gli immigrati invadono l'Italia.;Gli immigrati sono un peso per l'Italia.;0.0;0.8866672515869141;0.3636363636363636;0.0;0.7404237389564514;0.2857142857142857;-0.1462435126304626
;i rom sono invasori.;I rom invadono le nostre case.;0.1310090500134727;0.6034584641456604;0.4;0.0375934046415699;0.458520770072937;0.3333333333333333;-0.1449376940727234
_1042299826824798208;i migranti hanno occhi scuri.;Gli immigrati hanno occhi del colore sbagliato.;0.1212109352564212;0.6800708770751953;0.4444444444444445;0.0;0.5376961827278137;0.0;-0.1423746943473816
_1047961882722816001;I profughi del Senegal sono in viaggio per prendersi gioco degli italiani.;i profughi sono ingannevoli;0.0238376506493027;0.5222156047821045;0.2352941176470588;0.0625565772573222;0.3801575303077698;0.4444444444444445;-0.1420580744743347
_1093445106336706562;i migranti protestano per cibo no buono.;Migranti protestano per cibo no buono e bloccano il camion del servizio catering.;0.081939171811711;0.6701878309249878;0.3636363636363636;0.0;0.5307153463363647;0.1176470588235294;-0.139472484588623
_1063482351248965637;i migranti sono un'invasione.;Soros è responsabile dell'invasione di migranti in Europa.;0.0;0.2693111598491668;0.2;0.0285996171617138;0.1313788890838623;0.0;-0.1379322707653045
_1040671200660410368;Gli immigrati rendono.;gli immigrati sono un costo per il cittadino italiano;0.0;0.4475879073143005;0.0;0.0257328502527341;0.3105976581573486;0.1538461538461538;-0.1369902491569519
;i rom sommergono le città di immondizia.;I rom sommergono Roma di immondizia.;0.081939171811711;0.5650089383125305;0.3636363636363636;0.0375934046415699;0.4343598186969757;0.4;-0.1306491196155548
_1067089567042408448;i clandestini pagano per arrivare in Italia.;Gli immigrati sono ricchi e vogliono approfittare dell'Italia.;0.0323593484897578;0.547452449798584;0.1818181818181818;0.0285996171617138;0.419682115316391;0.1538461538461538;-0.127770334482193
_1040011593013227522;Gli immigrati commettono delitti.;immigrati sono pericolosi;0.0;0.9067560434341432;0.0;0.0519467286215556;0.7794696092605591;0.2857142857142857;-0.1272864341735839
;le moschee sono pericolose.;Il Qatar finanzia moschee in Italia per pericolosi scopi.;0.0475327197723342;0.5714288949966431;0.2222222222222222;0.0;0.4442246854305267;0.0;-0.1272042095661163
_1113779577770446850;i rom vanno nei quartieri della sinistra.;I rom dovrebbero vivere nei quartieri dei politici di sinistra.;0.081939171811711;0.4789960980415344;0.3333333333333333;0.023457495174891;0.3530076146125793;0.2666666666666666;-0.125988483428955
_1040728335091945472;gli africani sono parassiti.;Gli immigrati africani sono parassiti che vogliono essere mantenuti a vita da noi italiani.;0.1310090500134727;0.9006305932998657;0.6666666666666665;0.0901028833659592;0.7753322124481201;0.3157894736842105;-0.1252983808517456
_1092678788087975936;I profughi sono disertori.;immigrati sono un pericolo per l'Italia;0.0288300518814496;0.7103051543235779;0.3636363636363636;0.0318221300055069;0.5858479738235474;0.1428571428571428;-0.1244571805000305
_1054307948879667200;i clandestini islamici sono nei loro paesi islamici di merda.;Gli immigrati islamici devono capire che sono in Italia, non nei loro paesi.;0.0278958201621223;0.5766697525978088;0.2666666666666666;0.0187243727644618;0.4522324800491333;0.1111111111111111;-0.1244372725486755
;i delinquenti stranieri vanno cacciati.;Devono essere espulsi i delinquenti stranieri.;0.0456496931223525;0.7790038585662842;0.2222222222222222;0.0;0.6563491225242615;0.2;-0.1226547360420227
_1072834486419775488;i migranti strappano i documenti e bruciano i polpastrelli delle dita.;Il Papa dovrebbe cambiare religione perché paragona i migranti a Giuseppe e Maria.;0.0519079419601329;0.5098937153816223;0.2666666666666666;0.0442496741063549;0.3881560564041137;0.2352941176470588;-0.1217376589775085
_1039916875226988544;i migranti dovrebbero essere presi in casa dalle persone ricche.;Giorgia Meloni dovrebbe accogliere i migranti nella sua casa.;0.0569508499822196;0.548925518989563;0.2666666666666666;0.0632108714041725;0.4310488700866699;0.2857142857142857;-0.117876648902893
;i nomadi sono arrestati.;Due nomadi sono stati arrestati dopo un inseguimento.;0.0565262485486904;0.4022104442119598;0.4444444444444445;0.0285996171617138;0.2853311002254486;0.1538461538461538;-0.1168793439865112
